epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1199.72,1.04611,1.19999,1.28706,0.49017,0.56567,0.487,0.25772,1.67383,1.50789,1.65446,0.00047599,0.00047599,0.00047599
2,2369.5,0.96136,0.95493,1.21251,0.59713,0.67465,0.66608,0.39283,1.34859,1.14937,1.45367,0.000858043,0.000858043,0.000858043
3,3520.34,0.84652,0.82033,1.14347,0.71245,0.78292,0.81286,0.52619,1.13985,0.85404,1.26738,0.00114578,0.00114578,0.00114578
4,4657.06,0.75428,0.71722,1.0862,0.79197,0.80606,0.86717,0.60775,1.01326,0.71125,1.17122,0.00100459,0.00100459,0.00100459
5,5786.81,0.66433,0.62912,1.03604,0.84959,0.83297,0.90685,0.6786,0.87434,0.61409,1.08703,0.000863116,0.000863116,0.000863116
6,6917.32,0.60037,0.56048,1.0023,0.84559,0.87524,0.91385,0.70053,0.8381,0.57365,1.06844,0.000721645,0.000721645,0.000721645
7,8048.9,0.5433,0.49713,0.97128,0.86074,0.87651,0.9272,0.72409,0.78405,0.52539,1.04499,0.000580174,0.000580174,0.000580174
8,9179.33,0.50615,0.45216,0.95434,0.8879,0.87577,0.94096,0.7542,0.75016,0.49321,1.01268,0.000438703,0.000438703,0.000438703
9,10308.8,0.46207,0.39779,0.93196,0.89287,0.90448,0.94899,0.77659,0.71066,0.44224,0.99372,0.000297232,0.000297232,0.000297232
10,11438.6,0.42452,0.34938,0.91393,0.91132,0.91295,0.95424,0.79177,0.69197,0.41882,0.97909,0.000155761,0.000155761,0.000155761
