epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.27,0.9391,1.21456,1.23286,0.29131,0.52157,0.27878,0.14231,1.7058,3.16473,1.72455,0.00047559,0.00047559,0.00047559
2,1528.08,0.86409,0.82434,1.15456,0.58051,0.63943,0.69643,0.44705,1.1523,1.28481,1.26717,0.000857683,0.000857683,0.000857683
3,2273.97,0.75755,0.70213,1.08514,0.79228,0.76979,0.8292,0.57147,1.08978,0.85496,1.21436,0.00114546,0.00114546,0.00114546
4,3010.02,0.69401,0.62621,1.05283,0.80871,0.8265,0.86808,0.63025,0.9676,0.68181,1.13789,0.00100459,0.00100459,0.00100459
5,3751.38,0.60507,0.5326,1.00216,0.85592,0.87052,0.91242,0.71029,0.80564,0.55828,1.02247,0.000863116,0.000863116,0.000863116
6,4484.33,0.55245,0.47335,0.97174,0.89151,0.88682,0.92883,0.73831,0.78802,0.51025,1.00799,0.000721645,0.000721645,0.000721645
7,5216.89,0.50421,0.41996,0.9504,0.87539,0.91213,0.9309,0.75396,0.72975,0.47308,0.97288,0.000580174,0.000580174,0.000580174
8,5950.52,0.46514,0.37705,0.92934,0.87876,0.91989,0.93646,0.76784,0.72098,0.4476,0.9745,0.000438703,0.000438703,0.000438703
9,6679.83,0.42832,0.3355,0.91215,0.90183,0.91351,0.93926,0.78361,0.67658,0.42768,0.94417,0.000297232,0.000297232,0.000297232
10,7400.56,0.3949,0.30273,0.89879,0.88984,0.93482,0.94437,0.80025,0.65402,0.39605,0.93072,0.000155761,0.000155761,0.000155761
